overall_rank,name,position,team,pos_rank,total_vor,total_points,avg_next_two,draft_value
73,Jahan Dotson,WR,PHI,23,0.0,0.0,0.0,0.0
74,Jalen Coker,WR,CAR,24,0.0,0.0,0.0,0.0
75,Josh Whyle,TE,GB,14,0.0,0.0,0.0,0.0
76,Will Dissly,TE,LAC,15,0.0,0.0,0.0,0.0
77,Davis Allen,TE,LAR,16,0.0,0.0,0.0,0.0
78,Cole Kmet,TE,CHI,17,0.0,0.0,0.0,0.0
79,Jackson Hawes,TE,BUF,18,0.0,0.0,0.0,0.0
80,Tyler Higbee,TE,LAR,19,0.0,0.0,0.0,0.0
81,Dawson Knox,TE,BUF,20,0.0,0.0,0.0,0.0
82,Chris Brooks,RB,GB,28,0.0,0.0,0.0,0.0
83,Tyler Conklin,TE,LAC,21,0.0,0.0,0.0,0.0
84,Matthew Golden,WR,GB,25,0.0,0.0,0.0,0.0
85,Kylen Granson,TE,PHI,22,0.0,0.0,0.0,0.0
86,Mitchell Evans,TE,CAR,23,0.0,0.0,0.0,0.0
87,Luke Musgrave,TE,GB,24,0.0,0.0,0.0,0.0
88,Khalil Shakir,WR,BUF,26,0.0,0.0,0.0,0.0
89,Konata Mumpfield,WR,LAR,27,0.0,0.0,0.0,0.0
90,KeAndre Lambert-Smith,WR,LAC,28,0.0,0.0,0.0,0.0
91,Tre' Harris,WR,LAC,29,0.0,0.0,0.0,0.0
92,Christian Kirk,WR,HOU,30,0.0,0.0,0.0,0.0
93,Will Shipley,RB,PHI,29,0.0,0.0,0.0,0.0
94,Keenan Allen,WR,LAC,31,0.0,0.0,0.0,0.0
95,Tyrell Shavers,WR,BUF,32,0.0,0.0,0.0,0.0
96,Austin Hooper,TE,NE,25,0.0,0.0,0.0,0.0
97,Olamide Zaccheaus,WR,CHI,33,0.0,0.0,0.0,0.0
98,Cade Stover,TE,HOU,26,0.0,0.0,0.0,0.0
99,Britain Covey,WR,PHI,34,0.0,0.0,0.0,0.0
100,Jaylin Noel,WR,HOU,35,0.0,0.0,0.0,0.0
101,Bo Melton,WR,GB,36,0.0,0.0,0.0,0.0
102,Marquez Valdes-Scantling,WR,PIT,37,0.0,0.0,0.0,0.0
103,Adam Thielen,WR,PIT,38,0.0,0.0,0.0,0.0
104,Xavier Legette,WR,CAR,39,0.0,0.0,0.0,0.0
105,Calvin Austin,WR,PIT,40,0.0,0.0,0.0,0.0
106,Xavier Smith,WR,LAR,41,0.0,0.0,0.0,0.0
107,Jayden Reed,WR,GB,42,0.0,0.0,0.0,0.0
108,Kyle Williams,WR,NE,43,0.0,0.0,0.0,0.0
109,Xavier Hutchinson,WR,HOU,44,0.0,0.0,0.0,0.0
110,Evan Engram,TE,DEN,27,0.0,0.0,0.0,0.0
111,Adam Trautman,TE,DEN,28,0.0,0.0,0.0,0.0
112,Gabe Davis,WR,BUF,45,0.0,0.0,0.0,0.0
113,Joshua Palmer,WR,BUF,46,0.0,0.0,0.0,0.0
114,Keon Coleman,WR,BUF,47,0.0,0.0,0.0,0.0
115,Derius Davis,WR,LAC,48,0.0,0.0,0.0,0.0
116,Scotty Miller,WR,PIT,49,0.0,0.0,0.0,0.0
