name,position,team,half_ppr_points,play_prob,vot
Shedeur Sanders,QB,CLE,15.56,1.0,0.0
Aaron Rodgers,QB,PIT,14.87,1.0,0.0
Kirk Cousins,QB,ATL,14.32,1.0,0.0
J.J. McCarthy,QB,MIN,14.21,1.0,0.0
Mitchell Trubisky,QB,BUF,13.9,1.0,0.0
Trey Lance,QB,LAC,13.49,1.0,0.0
RJ Harvey,RB,DEN,13.43,0.0,0.0
Quinn Ewers,QB,MIA,13.32,1.0,0.0
Chris Oladokun,QB,KC,13.23,1.0,0.0
Riley Leonard,QB,IND,12.78,1.0,0.0
Cam Ward,QB,TEN,12.73,1.0,0.0
Josh Johnson,QB,WAS,12.71,1.0,0.0
Kenneth Walker,RB,SEA,11.12,0.0,0.0
Courtland Sutton,WR,DEN,10.52,0.0,0.0
Brady Cook,QB,NYJ,10.19,1.0,0.0
AJ Barner,TE,SEA,9.44,0.0,0.0
Zach Charbonnet,RB,SEA,9.32,0.0,0.0
Kenny Pickett,QB,LV,8.57,1.0,0.0
Cooper Kupp,WR,SEA,7.41,0.0,0.0
Marvin Mims,WR,DEN,5.98,0.0,0.0
Rashid Shaheed,WR,SEA,5.7,0.0,0.0
Troy Franklin,WR,DEN,5.29,0.0,0.0
Evan Engram,TE,DEN,5.22,0.0,0.0
Lil'Jordan Humphrey,WR,DEN,4.72,0.0,0.0
Jaleel McLaughlin,RB,DEN,4.17,0.0,0.0
Aidan O'Connell,QB,LV,3.93,1.0,0.0
Tyler Badie,RB,DEN,2.46,0.0,0.0
Josh Allen,QB,BUF,2.26,1.0,0.0
Adam Trautman,TE,DEN,1.4,0.0,0.0
Michael Bandy,WR,DEN,1.33,0.0,0.0
