name,position,team,total_vor,total_points,wc_vor,div_vor,conf_vor,sb_vor,wc_prob,div_prob,conf_prob,sb_prob
Hunter Long,TE,JAX,0.0,0,0,0.0,0.0,0.0,0,0.47600000000000003,0.293,0.16399999999999998
Mason Rudolph,QB,PIT,0.0,0,0,0.0,0.0,0.0,0,0.384,0.18,0.065
DK Metcalf,WR,PIT,0.0,0,0,-0.22,0.0,0.0,0,0.384,0.18,0.065
Quentin Johnston,WR,LAC,0.0,0,0,-0.24,-0.76,0.0,0,0.369,0.081,0.024
Ladd McConkey,WR,LAC,0.0,0,0,-0.33,-0.84,0.0,0,0.369,0.081,0.024
Elijah Moore,WR,DEN,0.0,0,0,-0.46,-0.2,0.0,0,1.0,0.604,0.315
Ricky Pearsall,WR,SF,0.0,0,0,-0.47,-0.67,0.0,0,0.33399999999999996,0.124,0.044000000000000004
Tutu Atwell,WR,LAR,0.0,0,0,-0.52,-0.47,0.0,0,0.8220000000000001,0.44299999999999995,0.24
Dontayvion Wicks,WR,GB,0.0,0,0,-0.56,-1.06,0.0,0,0.491,0.10300000000000001,0.032
Jared Wayne,WR,HOU,0.0,0,0,-0.61,-0.89,0.0,0,0.616,0.22699999999999998,0.107
Dyami Brown,WR,JAX,0.0,0,0,-0.68,-0.75,0.0,0,0.47600000000000003,0.293,0.16399999999999998
Brandin Cooks,WR,BUF,0.0,0,0,-0.69,-1.1,0.0,0,0.524,0.145,0.055
Jakobie Keeney-James,WR,GB,0.0,0,0,-0.72,-1.2,0.0,0,0.491,0.10300000000000001,0.032
Roman Wilson,WR,PIT,0.0,0,0,-0.76,-1.03,0.0,0,0.384,0.18,0.065
