name,position,team,half_ppr_points,play_prob,vot,vor,on_my_team
Nick Chubb,RB,HOU,5.45,0.227,1.24,1.24,0
Omarion Hampton,RB,LAC,13.3,0.081,1.08,1.08,0
Brittain Brown,RB,CHI,3.23,0.307,0.99,0.99,0
Rome Odunze,WR,CHI,10.34,0.307,2.33,0.94,0
Tank Bigsby,RB,PHI,3.08,0.267,0.82,0.82,0
Ty Johnson,RB,BUF,5.19,0.145,0.75,0.75,0
Marvin Mims,WR,DEN,4.7,0.604,2.08,0.69,0
Kimani Vidal,RB,LAC,8.45,0.081,0.68,0.68,0
Rico Dowdle,RB,CAR,11.69,0.051,0.6,0.6,0
Oronde Gadsden,TE,LAC,7.26,0.081,0.59,0.59,0
DJ Moore,WR,CHI,8.66,0.307,1.95,0.56,0
Parker Washington,WR,JAX,8.98,0.293,1.93,0.54,0
Emanuel Wilson,RB,GB,5.0,0.103,0.52,0.52,0
Jakobi Meyers,WR,JAX,8.77,0.293,1.88,0.5,0
DeVonta Smith,WR,PHI,9.61,0.267,1.88,0.49,0
Ray Davis,RB,BUF,3.12,0.145,0.45,0.45,0
Brian Robinson,RB,SF,3.44,0.124,0.43,0.43,0
Chuba Hubbard,RB,CAR,7.49,0.051,0.38,0.38,0
Brian Thomas,WR,JAX,8.2,0.293,1.76,0.37,0
Pat Bryant,WR,DEN,3.95,0.604,1.75,0.36,0
Jaret Patterson,RB,LAC,4.03,0.081,0.33,0.33,0
DeMario Douglas,WR,NE,4.72,0.47,1.62,0.24,0
Luther Burden,WR,CHI,6.96,0.307,1.56,0.18,0
Michael Bandy,WR,DEN,3.25,0.604,1.44,0.05,0
Trevor Lawrence,QB,JAX,20.13,0.293,0.0,0.0,0
Jonathan Taylor,RB,IND,19.96,0.0,0.0,0.0,0
Brock Purdy,QB,SF,19.93,0.124,0.0,0.0,0
Bijan Robinson,RB,ATL,19.72,0.0,0.0,0.0,0
Jahmyr Gibbs,RB,DET,19.44,0.0,0.0,0.0,0
Jalen Hurts,QB,PHI,19.19,0.267,0.0,0.0,0
Caleb Williams,QB,CHI,18.66,0.307,0.0,0.0,0
Dak Prescott,QB,DAL,18.34,0.0,0.0,0.0,0
De'Von Achane,RB,MIA,18.08,0.0,0.0,0.0,0
Jared Goff,QB,DET,18.06,0.0,0.0,0.0,0
Justin Herbert,QB,LAC,18.05,0.081,0.0,0.0,0
Bo Nix,QB,DEN,17.7,0.604,0.0,0.0,0
Jaxson Dart,QB,NYG,17.4,0.0,0.0,0.0,0
Lamar Jackson,QB,BAL,16.84,0.0,0.0,0.0,0
Joe Burrow,QB,CIN,16.81,0.0,0.0,0.0,0
Jacoby Brissett,QB,ARI,16.67,0.0,0.0,0.0,0
Jayden Daniels,QB,WAS,16.61,0.0,0.0,0.0,0
Derrick Henry,RB,BAL,16.35,0.0,0.0,0.0,0
Baker Mayfield,QB,TB,16.11,0.0,0.0,0.0,0
Jordan Love,QB,GB,15.68,0.103,0.0,0.0,0
Jameis Winston,QB,NYG,14.93,0.0,0.0,0.0,0
C.J. Stroud,QB,HOU,14.9,0.227,0.0,0.0,0
Trey McBride,TE,ARI,14.88,0.0,0.0,0.0,0
Tyler Shough,QB,NO,14.54,0.0,0.0,0.0,0
Chase Brown,RB,CIN,14.48,0.0,0.0,0.0,0
Sam Darnold,QB,SEA,14.32,0.706,0.0,0.0,0
Aaron Rodgers,QB,PIT,14.16,0.18,0.0,0.0,0
Bryce Young,QB,CAR,14.0,0.051,0.0,0.0,0
Malik Willis,QB,GB,13.29,0.103,0.0,0.0,0
Ashton Jeanty,RB,LV,12.92,0.0,0.0,0.0,0
J.J. McCarthy,QB,MIN,12.74,0.0,0.0,0.0,0
Bucky Irving,RB,TB,12.55,0.0,0.0,0.0,0
Breece Hall,RB,NYJ,12.1,0.0,0.0,0.0,0
Mac Jones,QB,SF,12.0,0.124,0.0,0.0,0
Cam Ward,QB,TEN,11.8,0.0,0.0,0.0,0
Marcus Mariota,QB,WAS,11.77,0.0,0.0,0.0,0
Geno Smith,QB,LV,11.59,0.0,0.0,0.0,0
Tua Tagovailoa,QB,MIA,11.48,0.0,0.0,0.0,0
Joe Flacco,QB,CIN,11.44,0.0,0.0,0.0,0
Spencer Rattler,QB,NO,11.4,0.0,0.0,0.0,0
Davis Mills,QB,HOU,11.1,0.227,0.0,0.0,0
Shedeur Sanders,QB,CLE,10.86,0.0,0.0,0.0,0
Kirk Cousins,QB,ATL,10.55,0.0,0.0,0.0,0
Philip Rivers,QB,IND,10.55,0.0,0.0,0.0,0
DK Metcalf,WR,PIT,10.51,0.18,1.39,0.0,0
Tony Pollard,RB,TEN,10.31,0.0,0.0,0.0,0
Tyrod Taylor,QB,NYJ,10.24,0.0,0.0,0.0,0
Phil Mafah,RB,DAL,9.9,0.0,0.0,0.0,0
Kyle Pitts,TE,ATL,9.81,0.0,0.0,0.0,0
Jake Browning,QB,CIN,9.75,0.0,0.0,0.0,0
Tyrone Tracy,RB,NYG,9.65,0.0,0.0,0.0,0
Harold Fannin,TE,CLE,9.53,0.0,0.0,0.0,0
David Montgomery,RB,DET,9.11,0.0,0.0,0.0,0
Travis Kelce,TE,KC,9.01,0.0,0.0,0.0,0
Aaron Jones,RB,MIN,8.89,0.0,0.0,0.0,0
Tyler Warren,TE,IND,8.85,0.0,0.0,0.0,0
Jake Ferguson,TE,DAL,8.77,0.0,0.0,0.0,0
Juwan Johnson,TE,NO,8.55,0.0,0.0,0.0,0
Russell Wilson,QB,NYG,8.31,0.0,0.0,0.0,0
Jacory Croskey-Merritt,RB,WAS,8.22,0.0,0.0,0.0,0
Quinn Ewers,QB,MIA,8.17,0.0,0.0,0.0,0
Kareem Hunt,RB,KC,8.14,0.0,0.0,0.0,0
Tyler Huntley,QB,BAL,8.03,0.0,0.0,0.0,0
Alvin Kamara,RB,NO,8.02,0.0,0.0,0.0,0
Jordan Mason,RB,MIN,7.74,0.0,0.0,0.0,0
Mitchell Trubisky,QB,BUF,7.28,0.145,0.0,0.0,0
Rachaad White,RB,TB,7.24,0.0,0.0,0.0,0
Theo Johnson,TE,NYG,7.02,0.0,0.0,0.0,0
Dillon Gabriel,QB,CLE,7.01,0.0,0.0,0.0,0
Chris Rodriguez,RB,WAS,6.96,0.0,0.0,0.0,0
Tyjae Spears,RB,TEN,6.86,0.0,0.0,0.0,0
Tyler Allgeier,RB,ATL,6.82,0.0,0.0,0.0,0
Riley Leonard,QB,IND,6.6,0.0,0.0,0.0,0
Michael Carter,RB,ARI,6.35,0.0,0.0,0.0,0
Mark Andrews,TE,BAL,6.29,0.0,0.0,0.0,0
Albert Okwuegbunam,TE,LV,6.1,0.0,0.0,0.0,0
Audric Estime,RB,NO,6.01,0.0,0.0,0.0,0
Isiah Pacheco,RB,KC,5.98,0.0,0.0,0.0,0
Tyler Higbee,TE,LAR,5.86,0.443,0.0,0.0,0
T.J. Hockenson,TE,MIN,5.82,0.0,0.0,0.0,0
David Njoku,TE,CLE,5.82,0.0,0.0,0.0,0
Cade Otton,TE,TB,5.79,0.0,0.0,0.0,0
Devin Singletary,RB,NYG,5.75,0.0,0.0,0.0,0
Brady Cook,QB,NYJ,5.69,0.0,0.0,0.0,0
Chig Okonkwo,TE,TEN,5.65,0.0,0.0,0.0,0
Pat Freiermuth,TE,PIT,5.48,0.18,0.0,0.0,0
Josh Johnson,QB,WAS,5.28,0.0,0.0,0.0,0
Greg Dulcich,TE,MIA,5.18,0.0,0.0,0.0,0
Sean Tucker,RB,TB,5.14,0.0,0.0,0.0,0
Chris Oladokun,QB,KC,5.07,0.0,0.0,0.0,0
Dawson Knox,TE,BUF,4.92,0.145,0.0,0.0,0
Samaje Perine,RB,CIN,4.89,0.0,0.0,0.0,0
Dylan Sampson,RB,CLE,4.87,0.0,0.0,0.0,0
Evan Engram,TE,DEN,4.86,0.604,0.0,0.0,0
Aidan O'Connell,QB,LV,4.78,0.0,0.0,0.0,0
Jaylen Wright,RB,MIA,4.77,0.0,0.0,0.0,0
Raheim Sanders,RB,CLE,4.7,0.0,0.0,0.0,0
Jake Tonges,TE,SF,4.49,0.124,0.0,0.0,0
Mike Gesicki,TE,CIN,4.36,0.0,0.0,0.0,0
Gunnar Helm,TE,TEN,4.36,0.0,0.0,0.0,0
Michael Mayer,TE,LV,4.33,0.0,0.0,0.0,0
Noah Fant,TE,CIN,4.25,0.0,0.0,0.0,0
Emari Demercado,RB,ARI,4.14,0.0,0.0,0.0,0
