name,position,team,game,pass_yds,pass_tds,rush_yds,rec_yds,receptions,td_prob,half_ppr_points,games_played
John Metchie,WR,NYJ,NYJ (Wild Card),0.0,0.0,0.89,33.89,3.29,0,6.44,
Daniel Bellinger,TE,NYG,NYG (Wild Card),0.0,0.0,0.0,34.61,3.06,0,6.31,
Khalil Shakir,WR,BUF,BUF (Wild Card),0.0,0.0,1.59,32.39,2.69,0,6.3,
Isaac TeSlaa,WR,DET,DET (Wild Card),0.0,0.0,0.28,30.41,2.1,0,6.28,
Jack Bech,WR,LV,LV (Wild Card),0.0,0.0,0.0,35.03,3.32,0,6.24,
Konata Mumpfield,WR,LAR,LAR (Wild Card),0.0,0.0,0.0,31.81,2.47,0,6.22,
Josh Downs,WR,IND,IND (Wild Card),0.0,0.0,0.21,32.33,2.89,0,6.2,
Grant Calcaterra,TE,PHI,PHI (Wild Card),0.0,0.0,0.0,33.46,2.86,0,6.16,
Jalen McMillan,WR,TB,TB (Wild Card),0.0,0.0,0.0,31.97,2.29,0,6.14,
KeAndre Lambert-Smith,WR,LAC,LAC (Wild Card),0.0,0.0,2.22,31.03,2.43,0,6.1,
Tre' Harris,WR,LAC,LAC (Wild Card),0.0,0.0,0.0,34.55,2.92,0,6.06,
Kimani Vidal,RB,LAC,LAC (Wild Card),0.0,0.0,26.64,11.28,1.28,0,5.99,
Marvin Mims,WR,DEN,DEN (Wild Card),0.0,0.0,3.53,28.67,2.4,0,5.98,
Christian Kirk,WR,HOU,HOU (Wild Card),0.0,0.0,0.28,33.31,2.49,0,5.98,
Darnell Mooney,WR,ATL,ATL (Wild Card),0.0,0.0,0.12,34.35,2.37,0,5.95,
Isaiah Likely,TE,BAL,BAL (Wild Card),0.0,0.0,0.0,29.89,2.61,0,5.91,
Treylon Burks,WR,WAS,WAS (Wild Card),0.0,0.0,0.48,32.84,2.19,0,5.87,
Blake Whiteheart,TE,CLE,CLE (Wild Card),0.0,0.0,0.0,29.79,2.62,0,5.79,
Keenan Allen,WR,LAC,LAC (Wild Card),0.0,0.0,0.0,31.17,2.49,0,5.74,
Tyrell Shavers,WR,BUF,BUF (Wild Card),0.0,0.0,0.0,33.01,2.0,0,5.74,
Malachi Corley,WR,CLE,CLE (Wild Card),0.0,0.0,9.35,24.85,2.04,0,5.7,
Rashid Shaheed,WR,SEA,SEA (Wild Card),0.0,0.0,2.68,31.42,2.06,0,5.7,
Olamide Zaccheaus,WR,CHI,CHI (Wild Card),0.0,0.0,0.55,29.45,2.3,0,5.65,
Cade Otton,TE,TB,TB (Wild Card),0.0,0.0,0.0,29.94,2.92,0,5.59,
Tommy Tremble,TE,CAR,CAR (Wild Card),0.0,0.0,0.0,27.45,2.84,0,5.49,
Blake Corum,RB,LAR,LAR (Wild Card),0.0,0.0,36.18,0.0,0.0,0,5.48,
Theo Wease,WR,MIA,MIA (Wild Card),0.0,0.0,0.0,30.85,2.31,0,5.44,
Jake Ferguson,TE,DAL,DAL (Wild Card),0.0,0.0,0.0,25.54,2.95,0,5.35,
Britain Covey,WR,PHI,PHI (Wild Card),0.0,0.0,0.29,28.24,2.6,0,5.35,
Jaylin Noel,WR,HOU,HOU (Wild Card),0.0,0.0,0.85,27.78,2.31,0,5.34,
Jawhar Jordan,RB,HOU,HOU (Wild Card),0.0,0.0,29.03,4.97,0.63,0,5.34,
Isaiah Williams,WR,NYJ,NYJ (Wild Card),0.0,0.0,1.76,27.33,2.9,0,5.32,
Colby Parkinson,TE,LAR,LAR (Wild Card),0.0,0.0,0.0,24.17,2.31,0,5.31,
Troy Franklin,WR,DEN,DEN (Wild Card),0.0,0.0,0.55,26.93,2.32,0,5.29,
Bo Melton,WR,GB,GB (Wild Card),0.0,0.0,1.33,28.52,2.02,0,5.26,
Marquez Valdes-Scantling,WR,PIT,PIT (Wild Card),0.0,0.0,0.0,30.49,1.76,0,5.25,
Evan Engram,TE,DEN,DEN (Wild Card),0.0,0.0,0.0,27.03,3.11,0,5.22,
Josh Oliver,TE,MIN,MIN (Wild Card),0.0,0.0,0.0,22.68,2.52,0,5.21,
Taysom Hill,TE,NO,NO (Wild Card),0.0,0.0,16.66,10.94,1.22,0,5.11,
Jonnu Smith,TE,PIT,PIT (Wild Card),0.0,0.0,0.24,24.05,2.67,0,5.08,
Jalen Royals,WR,KC,KC (Wild Card),0.0,0.0,0.01,26.54,2.58,0,5.08,
Adam Thielen,WR,PIT,PIT (Wild Card),0.0,0.0,0.0,25.97,2.14,0,4.99,
Xavier Legette,WR,CAR,CAR (Wild Card),0.0,0.0,0.59,25.67,2.18,0,4.98,
Keaton Mitchell,RB,BAL,BAL (Wild Card),0.0,0.0,20.24,10.36,1.13,0,4.88,
Mike Gesicki,TE,CIN,CIN (Wild Card),0.0,0.0,0.0,25.16,2.41,0,4.86,
Emeka Egbuka,WR,TB,TB (Wild Card),0.0,0.0,0.68,28.06,1.72,0,4.81,
Lil'Jordan Humphrey,WR,DEN,DEN (Wild Card),0.0,0.0,0.12,25.3,2.07,0,4.72,
Ty Chandler,RB,MIN,MIN (Wild Card),0.0,0.0,17.46,8.68,1.37,0,4.68,
Jalen Nailor,WR,MIN,MIN (Wild Card),0.0,0.0,0.2,23.68,1.73,0,4.63,
Ty Johnson,RB,BUF,BUF (Wild Card),0.0,0.0,14.17,12.8,1.25,0,4.58,
Calvin Austin,WR,PIT,PIT (Wild Card),0.0,0.0,0.44,24.64,1.82,0,4.56,
Dameon Pierce,RB,KC,KC (Wild Card),0.0,0.0,31.55,0.0,0.0,0,4.54,
Andrei Iosivas,WR,CIN,CIN (Wild Card),0.0,0.0,0.5,23.57,1.72,0,4.53,
DeMario Douglas,WR,NE,NE (Wild Card),0.0,0.0,1.24,23.47,1.89,0,4.5,
Cedric Tillman,WR,CLE,CLE (Wild Card),0.0,0.0,0.04,24.56,1.67,0,4.5,
Xavier Smith,WR,LAR,LAR (Wild Card),0.0,0.0,1.15,24.9,1.85,0,4.49,
Jayden Reed,WR,GB,GB (Wild Card),0.0,0.0,0.33,25.12,1.98,0,4.44,
Gunner Olszewski,WR,NYG,NYG (Wild Card),0.0,0.0,0.68,22.62,1.77,0,4.42,
Kyle Williams,WR,NE,NE (Wild Card),0.0,0.0,0.12,23.45,1.55,0,4.39,
Evan Hull,RB,NO,NO (Wild Card),0.0,0.0,14.56,10.77,1.29,0,4.38,
Rachaad White,RB,TB,TB (Wild Card),0.0,0.0,14.01,10.4,1.57,0,4.37,
Isaiah Bond,WR,CLE,CLE (Wild Card),0.0,0.0,0.69,26.67,1.45,0,4.36,
Xavier Weaver,WR,ARI,ARI (Wild Card),0.0,0.0,0.0,23.57,2.0,0,4.26,
Xavier Hutchinson,WR,HOU,HOU (Wild Card),0.0,0.0,0.12,23.62,1.82,0,4.24,
Josh Whyle,TE,GB,GB (Wild Card),0.0,0.0,0.0,19.82,2.3,0,4.21,
Will Dissly,TE,LAC,LAC (Wild Card),0.0,0.0,0.0,22.89,2.28,0,4.21,
Jaleel McLaughlin,RB,DEN,DEN (Wild Card),0.0,0.0,25.78,1.35,0.27,0,4.17,
Sean Tucker,RB,TB,TB (Wild Card),0.0,0.0,18.9,2.58,0.31,0,4.16,
Cedrick Wilson,WR,MIA,MIA (Wild Card),0.0,0.0,0.11,22.85,1.91,0,4.15,
KaVontae Turpin,WR,DAL,DAL (Wild Card),0.0,0.0,6.07,19.05,1.33,0,4.14,
Davis Allen,TE,LAR,LAR (Wild Card),0.0,0.0,0.0,18.91,1.97,0,4.02,
Sal Cannella,TE,CLE,CLE (Wild Card),0.0,0.0,0.0,20.85,1.8,0,4.01,
Tyler Lockett,WR,LV,LV (Wild Card),0.0,0.0,0.0,21.78,1.92,0,3.98,
Aidan O'Connell,QB,LV,LV (Wild Card),62.57,0.39,1.5,0.0,0.0,0,3.93,
Cole Kmet,TE,CHI,CHI (Wild Card),0.0,0.0,0.0,20.51,1.85,0,3.88,
Jeremy McNichols,RB,WAS,WAS (Wild Card),0.0,0.0,11.62,9.47,1.31,0,3.84,
