name,position,team,half_ppr_points,play_prob,vot,vor,on_my_team
Jayden Reed,WR,GB,4.44,1.0,4.44,-7.43,0
Gunner Olszewski,WR,NYG,4.42,1.0,4.42,-7.45,0
Kyle Williams,WR,NE,4.39,1.0,4.39,-7.48,0
Isaiah Bond,WR,CLE,4.36,1.0,4.36,-7.51,0
Kimani Vidal,RB,LAC,5.99,1.0,5.99,-7.59,0
Xavier Weaver,WR,ARI,4.26,1.0,4.26,-7.61,0
Xavier Hutchinson,WR,HOU,4.24,1.0,4.24,-7.63,0
Cedrick Wilson,WR,MIA,4.15,1.0,4.15,-7.72,0
KaVontae Turpin,WR,DAL,4.14,1.0,4.14,-7.73,0
Tyler Lockett,WR,LV,3.98,1.0,3.98,-7.89,0
AJ Barner,TE,SEA,9.44,0.0,0.0,-8.07,1
Evan Engram,TE,DEN,5.22,0.0,0.0,-8.07,0
Adam Trautman,TE,DEN,1.4,0.0,0.0,-8.07,0
James Proche,WR,TEN,3.79,1.0,3.79,-8.08,0
Blake Corum,RB,LAR,5.48,1.0,5.48,-8.1,0
Gabe Davis,WR,BUF,3.76,1.0,3.76,-8.11,0
David Sills,WR,ATL,3.74,1.0,3.74,-8.13,0
Christian Watson,WR,GB,3.72,1.0,3.72,-8.15,0
Joshua Palmer,WR,BUF,3.64,1.0,3.64,-8.23,0
Jawhar Jordan,RB,HOU,5.34,1.0,5.34,-8.24,0
DeAndre Hopkins,WR,BAL,3.6,1.0,3.6,-8.27,0
Jalen Brooks,WR,ARI,3.53,1.0,3.53,-8.34,0
Keon Coleman,WR,BUF,3.51,1.0,3.51,-8.36,0
Derius Davis,WR,LAC,3.31,1.0,3.31,-8.56,0
Scotty Miller,WR,PIT,3.29,1.0,3.29,-8.58,0
Justin Watson,WR,HOU,3.28,1.0,3.28,-8.59,0
Keaton Mitchell,RB,BAL,4.88,1.0,4.88,-8.7,0
Romeo Doubs,WR,GB,3.12,1.0,3.12,-8.75,0
