name,position,team,half_ppr_points,vor
Mac Jones,QB,SF,12.0,9.17
Christian Watson,WR,GB,11.49,9.13
Cam Ward,QB,TEN,11.8,8.97
Marcus Mariota,QB,WAS,11.77,8.94
TreVeyon Henderson,RB,NE,11.22,8.920000000000002
Geno Smith,QB,LV,11.59,8.76
Kenneth Gainwell,RB,PIT,10.99,8.690000000000001
Jameson Williams,WR,DET,11.02,8.66
Tua Tagovailoa,QB,MIA,11.48,8.65
Joe Flacco,QB,CIN,11.44,8.61
RJ Harvey,RB,DEN,10.89,8.59
Spencer Rattler,QB,NO,11.4,8.57
Michael Wilson,WR,ARI,10.68,8.32
Alec Pierce,WR,IND,10.65,8.290000000000001
Zach Charbonnet,RB,SEA,10.59,8.29
Courtland Sutton,WR,DEN,10.63,8.270000000000001
Davis Mills,QB,HOU,11.1,8.27
Quentin Johnston,WR,LAC,10.55,8.190000000000001
DK Metcalf,WR,PIT,10.51,8.15
Tetairoa McMillan,WR,CAR,10.49,8.13
Kenneth Walker,RB,SEA,10.38,8.080000000000002
Dallas Goedert,TE,PHI,10.34,8.06
Shedeur Sanders,QB,CLE,10.86,8.03
Tony Pollard,RB,TEN,10.31,8.010000000000002
Rome Odunze,WR,CHI,10.34,7.98
Jaylen Waddle,WR,MIA,10.13,7.770000000000001
Kirk Cousins,QB,ATL,10.55,7.720000000000001
Philip Rivers,QB,IND,10.55,7.720000000000001
Phil Mafah,RB,DAL,9.9,7.6000000000000005
Kyle Pitts,TE,ATL,9.81,7.530000000000001
Stefon Diggs,WR,NE,9.87,7.51
Tyrod Taylor,QB,NYJ,10.24,7.41
Jauan Jennings,WR,SF,9.72,7.360000000000001
Tyrone Tracy,RB,NYG,9.65,7.3500000000000005
DeVonta Smith,WR,PHI,9.61,7.25
Harold Fannin,TE,CLE,9.53,7.25
Emeka Egbuka,WR,TB,9.54,7.18
Terry McLaurin,WR,WAS,9.52,7.16
Deebo Samuel,WR,WAS,9.51,7.15
Michael Pittman,WR,IND,9.44,7.08
Justin Jefferson,WR,MIN,9.38,7.020000000000001
Jake Browning,QB,CIN,9.75,6.92
Ladd McConkey,WR,LAC,9.24,6.880000000000001
David Montgomery,RB,DET,9.11,6.81
Travis Kelce,TE,KC,9.01,6.73
Parker Washington,WR,JAX,8.98,6.620000000000001
Dalton Kincaid,TE,BUF,8.88,6.600000000000001
Aaron Jones,RB,MIN,8.89,6.590000000000001
Tyler Warren,TE,IND,8.85,6.57
Jake Ferguson,TE,DAL,8.77,6.49
Hunter Henry,TE,NE,8.75,6.470000000000001
Jakobi Meyers,WR,JAX,8.77,6.41
Mike Evans,WR,TB,8.73,6.370000000000001
DJ Moore,WR,CHI,8.66,6.300000000000001
Juwan Johnson,TE,NO,8.55,6.270000000000001
Colston Loveland,TE,CHI,8.51,6.23
Kimani Vidal,RB,LAC,8.45,6.1499999999999995
Romeo Doubs,WR,GB,8.49,6.130000000000001
Woody Marks,RB,HOU,8.32,6.0200000000000005
Keenan Allen,WR,LAC,8.36,6.0
Jacory Croskey-Merritt,RB,WAS,8.22,5.920000000000001
Khalil Shakir,WR,BUF,8.28,5.92
Troy Franklin,WR,DEN,8.27,5.91
Kareem Hunt,RB,KC,8.14,5.840000000000001
Brian Thomas,WR,JAX,8.2,5.84
Jordan Addison,WR,MIN,8.15,5.790000000000001
Dalton Schultz,TE,HOU,8.04,5.76
Alvin Kamara,RB,NO,8.02,5.72
Brenton Strange,TE,JAX,7.92,5.640000000000001
Kyle Monangai,RB,CHI,7.86,5.5600000000000005
Russell Wilson,QB,NYG,8.31,5.48
Ricky Pearsall,WR,SF,7.84,5.48
Tre Tucker,WR,LV,7.84,5.48
Jordan Mason,RB,MIN,7.74,5.44
Quinn Ewers,QB,MIA,8.17,5.34
Kayshon Boutte,WR,NE,7.69,5.33
Theo Wease,WR,MIA,7.63,5.27
Tyler Huntley,QB,BAL,8.03,5.199999999999999
Chuba Hubbard,RB,CAR,7.49,5.19
Colby Parkinson,TE,LAR,7.35,5.07
Oronde Gadsden,TE,LAC,7.26,4.98
Rachaad White,RB,TB,7.24,4.94
AJ Barner,TE,SEA,7.14,4.859999999999999
Chris Godwin,WR,TB,7.17,4.8100000000000005
Theo Johnson,TE,NYG,7.02,4.74
Marquise Brown,WR,KC,7.08,4.720000000000001
Chris Rodriguez,RB,WAS,6.96,4.66
Blake Corum,RB,LAR,6.95,4.65
Luther Burden,WR,CHI,6.96,4.6
Tyjae Spears,RB,TEN,6.86,4.5600000000000005
Tyler Allgeier,RB,ATL,6.82,4.5200000000000005
Josh Downs,WR,IND,6.84,4.48
Mitchell Trubisky,QB,BUF,7.28,4.45
Jalen Coker,WR,CAR,6.72,4.359999999999999
Jawhar Jordan,RB,HOU,6.55,4.25
Dillon Gabriel,QB,CLE,7.01,4.18
Rashid Shaheed,WR,SEA,6.51,4.15
Keon Coleman,WR,BUF,6.42,4.0600000000000005
Jayden Higgins,WR,HOU,6.41,4.050000000000001
Michael Carter,RB,ARI,6.35,4.05
Mark Andrews,TE,BAL,6.29,4.01
Xavier Worthy,WR,KC,6.35,3.9899999999999998
Albert Okwuegbunam,TE,LV,6.1,3.82
Riley Leonard,QB,IND,6.6,3.7699999999999996
Audric Estime,RB,NO,6.01,3.71
Isiah Pacheco,RB,KC,5.98,3.6800000000000006
Elic Ayomanor,WR,TEN,6.0,3.64
Jalen McMillan,WR,TB,5.98,3.6200000000000006
Tyler Higbee,TE,LAR,5.86,3.5800000000000005
T.J. Hockenson,TE,MIN,5.82,3.5400000000000005
David Njoku,TE,CLE,5.82,3.5400000000000005
Ryan Flournoy,WR,DAL,5.88,3.52
Cade Otton,TE,TB,5.79,3.5100000000000002
Devin Singletary,RB,NYG,5.75,3.45
Cooper Kupp,WR,SEA,5.8,3.44
Bhayshul Tuten,RB,JAX,5.71,3.41
Jerry Jeudy,WR,CLE,5.75,3.39
Chig Okonkwo,TE,TEN,5.65,3.3700000000000006
Darius Slayton,WR,NYG,5.59,3.23
Jayden Reed,WR,GB,5.57,3.2100000000000004
Pat Freiermuth,TE,PIT,5.48,3.2000000000000006
Nick Chubb,RB,HOU,5.45,3.1500000000000004
Chimere Dike,WR,TEN,5.42,3.06
Malik Washington,WR,MIA,5.28,2.9200000000000004
Greg Dulcich,TE,MIA,5.18,2.9
Ty Johnson,RB,BUF,5.19,2.8900000000000006
Brady Cook,QB,NYJ,5.69,2.8600000000000003
Sean Tucker,RB,TB,5.14,2.84
Emanuel Wilson,RB,GB,5.0,2.7
Calvin Austin,WR,PIT,5.05,2.69
Dawson Knox,TE,BUF,4.92,2.64
Sterling Shepard,WR,TB,4.96,2.6
Jalen Nailor,WR,MIN,4.95,2.5900000000000003
Samaje Perine,RB,CIN,4.89,2.59
Evan Engram,TE,DEN,4.86,2.5800000000000005
Dylan Sampson,RB,CLE,4.87,2.5700000000000003
KaVontae Turpin,WR,DAL,4.9,2.5400000000000005
Tez Johnson,WR,TB,4.9,2.5400000000000005
Jaylen Wright,RB,MIA,4.77,2.4699999999999998
Josh Johnson,QB,WAS,5.28,2.45
Xavier Legette,WR,CAR,4.79,2.43
Raheim Sanders,RB,CLE,4.7,2.4000000000000004
Xavier Hutchinson,WR,HOU,4.74,2.3800000000000003
DeMario Douglas,WR,NE,4.72,2.36
Marvin Mims,WR,DEN,4.7,2.3400000000000003
Ronnie Bell,WR,NO,4.65,2.2900000000000005
Chris Oladokun,QB,KC,5.07,2.24
Kendrick Bourne,WR,SF,4.6,2.2399999999999998
Adonai Mitchell,WR,NYJ,4.59,2.23
Jake Tonges,TE,SF,4.49,2.2100000000000004
Mike Gesicki,TE,CIN,4.36,2.0800000000000005
Gunnar Helm,TE,TEN,4.36,2.0800000000000005
Darnell Mooney,WR,ATL,4.42,2.06
Michael Mayer,TE,LV,4.33,2.0500000000000003
Dontayvion Wicks,WR,GB,4.34,1.98
Noah Fant,TE,CIN,4.25,1.9700000000000002
Andrei Iosivas,WR,CIN,4.32,1.9600000000000004
Aidan O'Connell,QB,LV,4.78,1.9500000000000002
Emari Demercado,RB,ARI,4.14,1.8399999999999999
Gabe Davis,WR,BUF,4.15,1.7900000000000005
Jaret Patterson,RB,LAC,4.03,1.7300000000000004
Olamide Zaccheaus,WR,CHI,4.08,1.7200000000000002
Jaydon Blue,RB,DAL,3.98,1.6800000000000002
Isaac TeSlaa,WR,DET,3.99,1.6300000000000003
Keaton Mitchell,RB,BAL,3.92,1.62
Jonnu Smith,TE,PIT,3.89,1.6100000000000003
Matthew Golden,WR,GB,3.96,1.6
Pat Bryant,WR,DEN,3.95,1.5900000000000003
Cole Kmet,TE,CHI,3.86,1.58
Cedric Tillman,WR,CLE,3.81,1.4500000000000002
Jaleel McLaughlin,RB,DEN,3.67,1.37
Isaiah Likely,TE,BAL,3.59,1.31
Jeremy McNichols,RB,WAS,3.54,1.2400000000000002
Brian Robinson,RB,SF,3.44,1.1400000000000001
John Metchie,WR,NYJ,3.46,1.1
Shane Buechele,QB,BUF,3.92,1.0899999999999999
Joshua Palmer,WR,BUF,3.44,1.08
Trey Lance,QB,LAC,3.89,1.06
Terrance Ferguson,TE,LAR,3.33,1.0500000000000003
Rashod Bateman,WR,BAL,3.38,1.02
Christian Kirk,WR,HOU,3.38,1.02
JuJu Smith-Schuster,WR,KC,3.35,0.9900000000000002
Kevin Austin,WR,NO,3.31,0.9500000000000002
DeAndre Hopkins,WR,BAL,3.29,0.9300000000000002
Brittain Brown,RB,CHI,3.23,0.9300000000000002
Jaylin Noel,WR,HOU,3.26,0.8999999999999999
Kalif Raymond,WR,DET,3.25,0.8900000000000001
Michael Bandy,WR,DEN,3.25,0.8900000000000001
Josh Oliver,TE,MIN,3.17,0.8900000000000001
Demarcus Robinson,WR,SF,3.23,0.8700000000000001
Isaiah Hodgins,WR,NYG,3.21,0.8500000000000001
Daniel Bellinger,TE,NYG,3.13,0.8500000000000001
Tre' Harris,WR,LAC,3.2,0.8400000000000003
Ray Davis,RB,BUF,3.12,0.8200000000000003
Tank Bigsby,RB,PHI,3.08,0.7800000000000002
Austin Hooper,TE,NE,3.05,0.77
Davis Allen,TE,LAR,2.99,0.7100000000000004
Brashard Smith,RB,KC,2.99,0.6900000000000004
Ollie Gordon,RB,MIA,2.98,0.6800000000000002
Tommy Tremble,TE,CAR,2.96,0.6800000000000002
Hunter Long,TE,JAX,2.94,0.6600000000000001
Taysom Hill,TE,NO,2.94,0.6600000000000001
Tyler Lockett,WR,LV,3.01,0.6499999999999999
Treylon Burks,WR,WAS,3.0,0.6400000000000001
Jacoby Jones,WR,WAS,3.0,0.6400000000000001
Jared Wayne,WR,HOU,3.0,0.6400000000000001
Dyami Brown,WR,JAX,2.98,0.6200000000000001
Tanner McKee,QB,PHI,3.44,0.6099999999999999
Andy Dalton,QB,CAR,3.38,0.5499999999999998
Devontez Walker,WR,BAL,2.88,0.52
Isaiah Bond,WR,CLE,2.86,0.5
Tutu Atwell,WR,LAR,2.82,0.45999999999999996
Lil'Jordan Humphrey,WR,DEN,2.81,0.4500000000000002
Xavier Restrepo,WR,TEN,2.8,0.43999999999999995
Shedrick Jackson,WR,LV,2.78,0.41999999999999993
Tim Patrick,WR,JAX,2.76,0.3999999999999999
Elijah Higgins,TE,ARI,2.65,0.3700000000000001
Jalen Tolbert,WR,DAL,2.72,0.3600000000000003
Jackson Hawes,TE,BUF,2.63,0.3500000000000001
Elijah Moore,WR,DEN,2.68,0.3200000000000003
Brandin Cooks,WR,BUF,2.66,0.30000000000000027
Roman Wilson,WR,PIT,2.66,0.30000000000000027
Tyler Johnson,WR,NYJ,2.64,0.28000000000000025
Jahdae Walker,WR,CHI,2.63,0.27
Tanner Hudson,TE,CIN,2.55,0.27
Joe Milton,QB,DAL,3.08,0.25
Robbie Chosen,WR,WAS,2.6,0.2400000000000002
Kyle Williams,WR,NE,2.6,0.2400000000000002
Marquez Valdes-Scantling,WR,PIT,2.5,0.14000000000000012
Jakobie Keeney-James,WR,GB,2.5,0.14000000000000012
Ty Chandler,RB,MIN,2.43,0.13000000000000034
Xavier Smith,WR,LAR,2.46,0.10000000000000009
Jahan Dotson,WR,PHI,2.42,0.06000000000000005
Isaiah Williams,WR,NYJ,2.38,0.020000000000000018
Mason Rudolph,QB,PIT,2.83,0.0
Chris Moore,WR,WAS,2.36,0.0
David Sills,WR,ATL,2.36,0.0
Ameer Abdullah,RB,IND,2.3,0.0
Mitchell Evans,TE,CAR,2.28,0.0
