name,position,team,game,pass_yds,pass_tds,rush_yds,rec_yds,receptions,td_prob,half_ppr_points,games_played
Ladd McConkey,WR,LAC,LAC (Divisional),0.0,0.0,0.0,49.3,4.1,0,9.24,16
David Montgomery,RB,DET,DET (Divisional),0.2,0.06,42.1,11.3,1.4,0,9.11,17
Travis Kelce,TE,KC,KC (Divisional),0.0,0.0,0.1,50.1,4.5,0,9.01,17
Parker Washington,WR,JAX,JAX (Divisional),0.0,0.0,0.0,52.9,3.6,0,8.98,16
Aaron Jones,RB,MIN,MIN (Divisional),0.0,0.0,45.7,16.6,2.3,0,8.89,12
Dalton Kincaid,TE,BUF,BUF (Divisional),0.0,0.0,0.0,47.6,3.2,0,8.88,12
Tyler Warren,TE,IND,IND (Divisional),0.0,0.0,0.5,48.1,4.5,0,8.85,17
Jake Ferguson,TE,DAL,DAL (Divisional),0.0,0.0,0.1,35.3,4.8,0,8.77,17
Jakobi Meyers,WR,JAX,JAX (Divisional),0.0,0.0,0.8,52.2,4.7,0,8.77,16
Hunter Henry,TE,NE,NE (Divisional),0.0,0.0,0.0,45.2,3.5,0,8.75,17
Mike Evans,WR,TB,TB (Divisional),0.0,0.0,0.0,46.0,3.8,0,8.73,8
DJ Moore,WR,CHI,CHI (Divisional),0.1,0.06,4.6,40.1,2.9,0,8.66,17
Juwan Johnson,TE,NO,NO (Divisional),0.0,0.0,0.0,52.3,4.5,0,8.55,17
Colston Loveland,TE,CHI,CHI (Divisional),0.0,0.0,-0.1,44.6,3.6,0,8.51,16
Romeo Doubs,WR,GB,GB (Divisional),0.0,0.0,0.0,45.2,3.4,0,8.49,16
Kimani Vidal,RB,LAC,LAC (Divisional),0.0,0.0,49.5,10.5,1.2,0,8.45,13
Keenan Allen,WR,LAC,LAC (Divisional),0.0,0.0,0.0,45.7,4.8,0,8.36,17
Woody Marks,RB,HOU,HOU (Divisional),0.0,0.0,43.9,13.0,1.5,0,8.32,16
Russell Wilson,QB,NYG,NYG (Divisional),138.5,0.5,17.7,0.0,0.0,0,8.31,6
Khalil Shakir,WR,BUF,BUF (Divisional),0.0,0.0,0.3,44.9,4.5,0,8.28,16
Troy Franklin,WR,DEN,DEN (Divisional),0.0,0.0,0.7,41.7,3.8,0,8.27,17
Jacory Croskey-Merritt,RB,WAS,WAS (Divisional),0.0,0.0,47.4,4.0,0.5,0,8.22,17
Brian Thomas,WR,JAX,JAX (Divisional),0.0,0.0,1.5,50.5,3.4,0,8.2,14
Quinn Ewers,QB,MIA,MIA (Divisional),155.5,0.75,4.8,-1.5,0.2,0,8.17,4
Jordan Addison,WR,MIN,MIN (Divisional),0.0,0.0,5.8,43.6,3.0,0,8.15,14
Kareem Hunt,RB,KC,KC (Divisional),0.0,0.0,35.9,8.4,1.1,0,8.14,17
Dalton Schultz,TE,HOU,HOU (Divisional),0.0,0.0,0.0,45.7,4.8,0,8.04,17
Tyler Huntley,QB,BAL,BAL (Divisional),85.2,0.4,30.2,0.0,0.0,0,8.03,5
Alvin Kamara,RB,NO,NO (Divisional),0.0,0.0,42.8,16.9,3.0,0,8.02,11
Brenton Strange,TE,JAX,JAX (Divisional),0.0,0.0,0.0,45.0,3.8,0,7.92,12
Kyle Monangai,RB,CHI,CHI (Divisional),0.0,0.0,46.1,9.6,1.1,0,7.86,17
Ricky Pearsall,WR,SF,SF (Divisional),0.0,0.0,-0.2,58.7,4.0,0,7.84,9
Tre Tucker,WR,LV,LV (Divisional),0.0,0.0,3.0,40.9,3.4,0,7.84,17
Jordan Mason,RB,MIN,MIN (Divisional),0.0,0.0,47.4,3.2,0.9,0,7.74,16
Kayshon Boutte,WR,NE,NE (Divisional),0.0,0.0,0.0,39.4,2.4,0,7.69,14
Theo Wease,WR,MIA,MIA (Divisional),0.0,0.0,0.0,46.3,2.0,0,7.63,3
Chuba Hubbard,RB,CAR,CAR (Divisional),0.0,0.0,34.1,14.9,2.0,0,7.49,15
Colby Parkinson,TE,LAR,LAR (Divisional),0.0,0.0,0.0,27.2,2.9,0,7.35,15
Mitchell Trubisky,QB,BUF,BUF (Divisional),78.2,1.0,1.5,0.0,0.0,0,7.28,4
Oronde Gadsden,TE,LAC,LAC (Divisional),0.0,0.0,0.0,44.3,3.3,0,7.26,15
Rachaad White,RB,TB,TB (Divisional),0.0,0.0,33.6,12.8,2.4,0,7.24,17
Chris Godwin,WR,TB,TB (Divisional),0.0,0.0,0.0,40.0,3.7,0,7.17,9
AJ Barner,TE,SEA,SEA (Divisional),0.0,0.0,0.8,30.5,3.1,0,7.14,17
Marquise Brown,WR,KC,KC (Divisional),0.0,0.0,0.0,36.7,3.1,0,7.08,16
Theo Johnson,TE,NYG,NYG (Divisional),0.0,0.0,0.0,35.2,3.0,0,7.02,15
Dillon Gabriel,QB,CLE,CLE (Divisional),93.7,0.7,8.6,0.0,0.0,0,7.01,10
Luther Burden,WR,CHI,CHI (Divisional),0.0,0.0,2.5,43.5,3.1,0,6.96,15
Chris Rodriguez,RB,WAS,WAS (Divisional),0.0,0.0,38.5,2.3,0.2,0,6.96,13
Blake Corum,RB,LAR,LAR (Divisional),0.0,0.0,43.9,2.1,0.5,0,6.95,17
Tyjae Spears,RB,TEN,TEN (Divisional),0.0,0.0,21.8,20.3,3.5,0,6.86,13
Josh Downs,WR,IND,IND (Divisional),0.0,0.0,-0.1,35.4,3.6,0,6.84,16
Tyler Allgeier,RB,ATL,ATL (Divisional),0.0,0.0,30.2,5.6,0.8,0,6.82,17
Jalen Coker,WR,CAR,CAR (Divisional),0.0,0.0,0.0,35.8,3.0,0,6.72,11
Riley Leonard,QB,IND,IND (Divisional),83.0,0.4,5.4,-0.6,0.0,0,6.6,5
