name,position,team,half_ppr_points,vor
Jayden Reed,WR,GB,5.57,-4.039999999999999
Jawhar Jordan,RB,HOU,6.55,-4.04
Chimere Dike,WR,TEN,5.42,-4.1899999999999995
Michael Carter,RB,ARI,6.35,-4.24
Jameis Winston,QB,NYG,14.93,-4.260000000000002
C.J. Stroud,QB,HOU,14.9,-4.290000000000001
Malik Washington,WR,MIA,5.28,-4.329999999999999
Calvin Austin,WR,PIT,5.05,-4.56
Audric Estime,RB,NO,6.01,-4.58
Isiah Pacheco,RB,KC,5.98,-4.609999999999999
Sterling Shepard,WR,TB,4.96,-4.6499999999999995
Tyler Shough,QB,NO,14.54,-4.650000000000002
Jalen Nailor,WR,MIN,4.95,-4.659999999999999
KaVontae Turpin,WR,DAL,4.9,-4.709999999999999
Tez Johnson,WR,TB,4.9,-4.709999999999999
Xavier Legette,WR,CAR,4.79,-4.819999999999999
Devin Singletary,RB,NYG,5.75,-4.84
Xavier Hutchinson,WR,HOU,4.74,-4.869999999999999
Sam Darnold,QB,SEA,14.32,-4.870000000000001
Bhayshul Tuten,RB,JAX,5.71,-4.88
DeMario Douglas,WR,NE,4.72,-4.89
Marvin Mims,WR,DEN,4.7,-4.909999999999999
Ronnie Bell,WR,NO,4.65,-4.959999999999999
Kendrick Bourne,WR,SF,4.6,-5.01
Adonai Mitchell,WR,NYJ,4.59,-5.02
Aaron Rodgers,QB,PIT,14.16,-5.030000000000001
Nick Chubb,RB,HOU,5.45,-5.14
Darnell Mooney,WR,ATL,4.42,-5.1899999999999995
Bryce Young,QB,CAR,14.0,-5.190000000000001
Dontayvion Wicks,WR,GB,4.34,-5.27
Andrei Iosivas,WR,CIN,4.32,-5.289999999999999
Ty Johnson,RB,BUF,5.19,-5.3999999999999995
Sean Tucker,RB,TB,5.14,-5.45
Gabe Davis,WR,BUF,4.15,-5.459999999999999
Olamide Zaccheaus,WR,CHI,4.08,-5.529999999999999
Emanuel Wilson,RB,GB,5.0,-5.59
Isaac TeSlaa,WR,DET,3.99,-5.619999999999999
Matthew Golden,WR,GB,3.96,-5.6499999999999995
Pat Bryant,WR,DEN,3.95,-5.659999999999999
Samaje Perine,RB,CIN,4.89,-5.7
Dylan Sampson,RB,CLE,4.87,-5.72
Cedric Tillman,WR,CLE,3.81,-5.799999999999999
Jaylen Wright,RB,MIA,4.77,-5.82
Raheim Sanders,RB,CLE,4.7,-5.89
Malik Willis,QB,GB,13.29,-5.900000000000002
John Metchie,WR,NYJ,3.46,-6.1499999999999995
