name,position,team,total_vot,total_points
Tyrell Shavers,WR,BUF,5.74,5.74
Malachi Corley,WR,CLE,5.7,5.7
Cade Otton,TE,TB,5.59,5.59
Jayden Reed,WR,GB,5.51,7.93
Tommy Tremble,TE,CAR,5.49,6.2
Ray Davis,RB,BUF,5.48,5.48
Theo Wease,WR,MIA,5.44,5.44
Xavier Legette,WR,CAR,5.36,6.12
Jake Ferguson,TE,DAL,5.35,5.35
Britain Covey,WR,PHI,5.35,5.35
Isaiah Williams,WR,NYJ,5.32,5.32
Bo Melton,WR,GB,5.26,5.26
Josh Oliver,TE,MIN,5.21,5.21
Nick Chubb,RB,HOU,5.18,5.18
Keon Coleman,WR,BUF,5.12,8.16
Taysom Hill,TE,NO,5.11,5.11
Jonnu Smith,TE,PIT,5.08,7.53
Jalen Royals,WR,KC,5.08,5.08
Adam Thielen,WR,PIT,4.99,4.99
Keaton Mitchell,RB,BAL,4.88,4.88
Mike Gesicki,TE,CIN,4.86,4.86
Emeka Egbuka,WR,TB,4.81,4.81
Gabe Davis,WR,BUF,4.8,6.76
Romeo Doubs,WR,GB,4.75,8.43
Ty Chandler,RB,MIN,4.68,4.68
Jalen Nailor,WR,MIN,4.63,4.63
Dameon Pierce,RB,KC,4.54,4.54
Andrei Iosivas,WR,CIN,4.53,4.53
Joshua Palmer,WR,BUF,4.5,6.13
Cedric Tillman,WR,CLE,4.5,4.5
Gunner Olszewski,WR,NYG,4.42,4.42
Evan Hull,RB,NO,4.38,4.38
Rachaad White,RB,TB,4.37,4.37
Isaiah Bond,WR,CLE,4.36,4.36
Marvin Mims,WR,DEN,4.28,9.02
Xavier Weaver,WR,ARI,4.26,4.26
Josh Whyle,TE,GB,4.21,4.21
Will Dissly,TE,LAC,4.21,4.21
Rome Odunze,WR,CHI,4.2,9.45
Sean Tucker,RB,TB,4.16,4.16
Cedrick Wilson,WR,MIA,4.15,4.15
KaVontae Turpin,WR,DAL,4.14,4.14
Brian Robinson,RB,SF,4.06,4.06
Davis Allen,TE,LAR,4.02,8.52
Sal Cannella,TE,CLE,4.01,4.01
Tyler Lockett,WR,LV,3.98,3.98
Cole Kmet,TE,CHI,3.88,7.41
DeVonta Smith,WR,PHI,3.84,9.86
Jeremy McNichols,RB,WAS,3.84,3.84
James Proche,WR,TEN,3.79,3.79
A.J. Dillon,RB,PHI,3.76,3.76
Rasheen Ali,RB,BAL,3.75,3.75
David Sills,WR,ATL,3.74,3.74
Trayveon Williams,RB,CLE,3.65,3.65
Pat Bryant,WR,DEN,3.6,7.58
DeAndre Hopkins,WR,BAL,3.6,3.6
Ben Sinnott,TE,WAS,3.57,3.57
Jackson Hawes,TE,BUF,3.55,5.45
Jalen Brooks,WR,ARI,3.53,3.53
Tyler Higbee,TE,LAR,3.51,12.33
Demarcus Robinson,WR,SF,3.41,4.41
Dawson Knox,TE,BUF,3.34,6.9
Derius Davis,WR,LAC,3.31,3.31
Stone Smartt,TE,NYJ,3.31,3.31
Scotty Miller,WR,PIT,3.29,3.29
Justin Watson,WR,HOU,3.28,3.28
Tyler Conklin,TE,LAC,3.21,3.21
Noah Fant,TE,CIN,3.2,3.2
John Bates,TE,WAS,3.06,3.06
Jeremy Ruckert,TE,NYJ,3.02,3.02
Efton Chism,WR,NE,2.98,2.98
Michael Bandy,WR,DEN,2.96,6.24
LeQuint Allen,RB,JAX,2.96,2.96
Brittain Brown,RB,CHI,2.95,2.95
Kalif Raymond,WR,DET,2.93,2.93
Nick Westbrook-Ikhine,WR,MIA,2.92,2.92
Kylen Granson,TE,PHI,2.92,2.92
Mitchell Evans,TE,CAR,2.91,3.45
Ronnie Bell,WR,NO,2.89,2.89
Kendrick Bourne,WR,SF,2.87,4.3
Luke Musgrave,TE,GB,2.83,2.83
Elijah Higgins,TE,ARI,2.79,2.79
DK Metcalf,WR,PIT,2.74,6.61
